project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ethereum,daily,2016060200,all-access,all-agents,2730
en.wikipedia,Ethereum,daily,2016060300,all-access,all-agents,2436
en.wikipedia,Ethereum,daily,2016060400,all-access,all-agents,1773
en.wikipedia,Ethereum,daily,2016060500,all-access,all-agents,1708
en.wikipedia,Ethereum,daily,2016060600,all-access,all-agents,2334
en.wikipedia,Ethereum,daily,2016060700,all-access,all-agents,2417
en.wikipedia,Ethereum,daily,2016060800,all-access,all-agents,2471
en.wikipedia,Ethereum,daily,2016060900,all-access,all-agents,2142
en.wikipedia,Ethereum,daily,2016061000,all-access,all-agents,1902
en.wikipedia,Ethereum,daily,2016061100,all-access,all-agents,1607
en.wikipedia,Ethereum,daily,2016061200,all-access,all-agents,2145
en.wikipedia,Ethereum,daily,2016061300,all-access,all-agents,2999
en.wikipedia,Ethereum,daily,2016061400,all-access,all-agents,3364
en.wikipedia,Ethereum,daily,2016061500,all-access,all-agents,2947
en.wikipedia,Ethereum,daily,2016061600,all-access,all-agents,3228
en.wikipedia,Ethereum,daily,2016061700,all-access,all-agents,8355
en.wikipedia,Ethereum,daily,2016061800,all-access,all-agents,6063
en.wikipedia,Ethereum,daily,2016061900,all-access,all-agents,4736
en.wikipedia,Ethereum,daily,2016062000,all-access,all-agents,4579
en.wikipedia,Ethereum,daily,2016062100,all-access,all-agents,4539
en.wikipedia,Ethereum,daily,2016062200,all-access,all-agents,3119
en.wikipedia,Ethereum,daily,2016062300,all-access,all-agents,2643
en.wikipedia,Ethereum,daily,2016062400,all-access,all-agents,1848
en.wikipedia,Ethereum,daily,2016062500,all-access,all-agents,1492
en.wikipedia,Ethereum,daily,2016062600,all-access,all-agents,1341
en.wikipedia,Ethereum,daily,2016062700,all-access,all-agents,1962
en.wikipedia,Ethereum,daily,2016062800,all-access,all-agents,2026
en.wikipedia,Ethereum,daily,2016062900,all-access,all-agents,2018
en.wikipedia,Ethereum,daily,2016063000,all-access,all-agents,1992
en.wikipedia,Ethereum,daily,2016070100,all-access,all-agents,1617
en.wikipedia,Ethereum,daily,2016070200,all-access,all-agents,1187
en.wikipedia,Ethereum,daily,2016070300,all-access,all-agents,1524
en.wikipedia,Ethereum,daily,2016070400,all-access,all-agents,1876
en.wikipedia,Ethereum,daily,2016070500,all-access,all-agents,1896
en.wikipedia,Ethereum,daily,2016070600,all-access,all-agents,1621
en.wikipedia,Ethereum,daily,2016070700,all-access,all-agents,1594
en.wikipedia,Ethereum,daily,2016070800,all-access,all-agents,1317
en.wikipedia,Ethereum,daily,2016070900,all-access,all-agents,1081
en.wikipedia,Ethereum,daily,2016071000,all-access,all-agents,1242
en.wikipedia,Ethereum,daily,2016071100,all-access,all-agents,1525
en.wikipedia,Ethereum,daily,2016071200,all-access,all-agents,1403
en.wikipedia,Ethereum,daily,2016071300,all-access,all-agents,1329
en.wikipedia,Ethereum,daily,2016071400,all-access,all-agents,1395
en.wikipedia,Ethereum,daily,2016071500,all-access,all-agents,1312
en.wikipedia,Ethereum,daily,2016071600,all-access,all-agents,1010
en.wikipedia,Ethereum,daily,2016071700,all-access,all-agents,991
en.wikipedia,Ethereum,daily,2016071800,all-access,all-agents,1435
en.wikipedia,Ethereum,daily,2016071900,all-access,all-agents,1644
en.wikipedia,Ethereum,daily,2016072000,all-access,all-agents,2176
en.wikipedia,Ethereum,daily,2016072100,all-access,all-agents,3929
en.wikipedia,Ethereum,daily,2016072200,all-access,all-agents,2658
en.wikipedia,Ethereum,daily,2016072300,all-access,all-agents,1773
en.wikipedia,Ethereum,daily,2016072400,all-access,all-agents,1668
en.wikipedia,Ethereum,daily,2016072500,all-access,all-agents,3042
en.wikipedia,Ethereum,daily,2016072600,all-access,all-agents,4321
en.wikipedia,Ethereum,daily,2016072700,all-access,all-agents,3036
en.wikipedia,Ethereum,daily,2016072800,all-access,all-agents,2341
en.wikipedia,Ethereum,daily,2016072900,all-access,all-agents,1881
en.wikipedia,Ethereum,daily,2016073000,all-access,all-agents,1403
en.wikipedia,Ethereum,daily,2016073100,all-access,all-agents,1437
en.wikipedia,Ethereum,daily,2016080100,all-access,all-agents,1757
en.wikipedia,Ethereum,daily,2016080200,all-access,all-agents,1951
en.wikipedia,Ethereum,daily,2016080300,all-access,all-agents,3054
en.wikipedia,Ethereum,daily,2016080400,all-access,all-agents,2398
en.wikipedia,Ethereum,daily,2016080500,all-access,all-agents,1836
en.wikipedia,Ethereum,daily,2016080600,all-access,all-agents,1266
en.wikipedia,Ethereum,daily,2016080700,all-access,all-agents,1479
en.wikipedia,Ethereum,daily,2016080800,all-access,all-agents,1927
en.wikipedia,Ethereum,daily,2016080900,all-access,all-agents,1685
en.wikipedia,Ethereum,daily,2016081000,all-access,all-agents,1524
en.wikipedia,Ethereum,daily,2016081100,all-access,all-agents,1506
en.wikipedia,Ethereum,daily,2016081200,all-access,all-agents,1465
en.wikipedia,Ethereum,daily,2016081300,all-access,all-agents,1069
en.wikipedia,Ethereum,daily,2016081400,all-access,all-agents,1083
en.wikipedia,Ethereum,daily,2016081500,all-access,all-agents,1570
en.wikipedia,Ethereum,daily,2016081600,all-access,all-agents,1596
