"","GBP_USD_history.csv Date","GBP_USD_history.csv Price","GBP_USD_history.csv Open","GBP_USD_history.csv High","GBP_USD_history.csv Low"
"1761",2015-09-29,1.5151,1.5171,1.5208,1.5126
"1762",2015-09-30,1.5129,1.5147,1.5214,1.5105
"1763",2015-10-01,1.5129,1.5127,1.518,1.5106
"1764",2015-10-02,1.5182,1.5126,1.5238,1.5123
"1765",2015-10-05,1.5144,1.5177,1.5244,1.5134
"1766",2015-10-06,1.5227,1.5143,1.5248,1.5137
"1767",2015-10-07,1.5318,1.5224,1.5344,1.5218
"1768",2015-10-08,1.5349,1.5314,1.5377,1.5258
"1769",2015-10-09,1.5304,1.5346,1.5384,1.5297
"1770",2015-10-12,1.5345,1.5318,1.5374,1.5309
"1771",2015-10-13,1.5249,1.5347,1.5391,1.5198
"1772",2015-10-14,1.5477,1.5245,1.5498,1.5244
"1773",2015-10-15,1.5457,1.5473,1.5513,1.5413
"1774",2015-10-16,1.5435,1.5452,1.5487,1.5427
"1775",2015-10-19,1.5466,1.5431,1.55,1.5425
"1776",2015-10-20,1.5441,1.5463,1.5505,1.5431
"1777",2015-10-21,1.5419,1.544,1.548,1.5408
"1778",2015-10-22,1.5394,1.5416,1.5509,1.5367
"1779",2015-10-23,1.5314,1.5392,1.542,1.5302
"1780",2015-10-26,1.535,1.5307,1.5382,1.5301
"1781",2015-10-27,1.5296,1.5352,1.536,1.528
"1782",2015-10-28,1.5261,1.5297,1.5347,1.5245
"1783",2015-10-29,1.5311,1.526,1.5326,1.524
"1784",2015-10-30,1.5429,1.5309,1.5468,1.5302
"1785",2015-11-02,1.5416,1.5449,1.5498,1.5401
"1786",2015-11-03,1.5421,1.5414,1.5448,1.5357
"1787",2015-11-04,1.5383,1.5418,1.5444,1.5356
"1788",2015-11-05,1.5206,1.5384,1.5402,1.5201
"1789",2015-11-06,1.505,1.5204,1.5221,1.5023
"1790",2015-11-09,1.5115,1.5047,1.5128,1.5038
"1791",2015-11-10,1.5117,1.5112,1.5146,1.5089
"1792",2015-11-11,1.5212,1.5116,1.5226,1.5112
"1793",2015-11-12,1.5231,1.5207,1.5246,1.5171
"1794",2015-11-13,1.5233,1.5231,1.5266,1.5185
"1795",2015-11-16,1.5199,1.5235,1.5229,1.5179
"1796",2015-11-17,1.5214,1.5199,1.524,1.5153
"1797",2015-11-18,1.5237,1.5209,1.5249,1.5185
"1798",2015-11-19,1.529,1.5235,1.5336,1.5222
"1799",2015-11-20,1.5192,1.5289,1.5312,1.518
"1800",2015-11-23,1.5125,1.5186,1.5197,1.5104
"1801",2015-11-24,1.5087,1.5122,1.5159,1.5051
"1802",2015-11-25,1.5128,1.5076,1.5137,1.5053
"1803",2015-11-26,1.5102,1.5128,1.5133,1.5063
"1804",2015-11-27,1.5037,1.51,1.5109,1.5028
"1805",2015-11-30,1.5056,1.5036,1.5071,1.4991
"1806",2015-12-01,1.5081,1.5054,1.5126,1.5048
"1807",2015-12-02,1.4951,1.5079,1.5087,1.4893
"1808",2015-12-03,1.5146,1.4949,1.516,1.4902
"1809",2015-12-04,1.5112,1.5143,1.5157,1.5076
"1810",2015-12-07,1.5053,1.5097,1.5116,1.504
"1811",2015-12-08,1.5008,1.5054,1.5062,1.4954
"1812",2015-12-09,1.5181,1.5007,1.5191,1.5001
"1813",2015-12-10,1.5159,1.5174,1.5202,1.511
"1814",2015-12-11,1.5217,1.5159,1.524,1.5123
"1815",2015-12-14,1.5142,1.5215,1.5232,1.5105
"1816",2015-12-15,1.5035,1.5141,1.5186,1.5025
"1817",2015-12-16,1.5004,1.5033,1.5102,1.4962
"1818",2015-12-17,1.4901,1.4999,1.5004,1.4862
"1819",2015-12-18,1.4894,1.49,1.4951,1.4883
"1820",2015-12-21,1.4885,1.4896,1.4935,1.4875
"1821",2015-12-22,1.4825,1.488,1.4908,1.4802
"1822",2015-12-23,1.4872,1.4827,1.4904,1.4815
"1823",2015-12-24,1.4917,1.4869,1.4947,1.4861
"1824",2015-12-25,1.4933,1.4914,1.4948,1.4878
"1825",2015-12-28,1.4877,1.4909,1.4935,1.487
"1826",2015-12-29,1.4812,1.4876,1.4915,1.4783
"1827",2015-12-30,1.4816,1.4811,1.4852,1.479
"1828",2015-12-31,1.4739,1.4812,1.4845,1.4722
"1829",2016-01-01,1.4748,1.4734,1.4753,1.4734
"1830",2016-01-04,1.4717,1.4746,1.4815,1.4661
"1831",2016-01-05,1.4672,1.4711,1.4726,1.4636
"1832",2016-01-06,1.4627,1.4674,1.4683,1.46
"1833",2016-01-07,1.4618,1.4628,1.4643,1.453
"1834",2016-01-08,1.452,1.4614,1.4647,1.4504
"1835",2016-01-11,1.4544,1.452,1.4608,1.4491
"1836",2016-01-12,1.4444,1.4538,1.4561,1.435
"1837",2016-01-13,1.4407,1.4443,1.4476,1.4378
"1838",2016-01-14,1.4414,1.4403,1.4446,1.4358
"1839",2016-01-15,1.4258,1.4412,1.4431,1.4247
"1840",2016-01-18,1.4244,1.4259,1.4325,1.4233
"1841",2016-01-19,1.4158,1.424,1.4341,1.4127
"1842",2016-01-20,1.4191,1.4153,1.422,1.4123
"1843",2016-01-21,1.4218,1.4188,1.4249,1.4079
"1844",2016-01-22,1.4265,1.4219,1.4364,1.4202
"1845",2016-01-25,1.4249,1.4268,1.4311,1.4221
"1846",2016-01-26,1.4352,1.4247,1.4368,1.4171
"1847",2016-01-27,1.4233,1.4348,1.4359,1.4226
"1848",2016-01-28,1.4362,1.4231,1.4412,1.4229
"1849",2016-01-29,1.4247,1.436,1.4416,1.4147
"1850",2016-02-01,1.4433,1.4239,1.4448,1.4224
"1851",2016-02-02,1.441,1.4432,1.4447,1.4324
"1852",2016-02-03,1.4604,1.4409,1.4653,1.4381
"1853",2016-02-04,1.4589,1.46,1.467,1.4527
"1854",2016-02-05,1.4503,1.4588,1.4594,1.445
"1855",2016-02-08,1.4432,1.45,1.4547,1.4351
"1856",2016-02-09,1.4473,1.4428,1.4517,1.4376
"1857",2016-02-10,1.4522,1.4466,1.4579,1.4446
"1858",2016-02-11,1.4477,1.452,1.4565,1.4382
"1859",2016-02-12,1.4507,1.4476,1.4571,1.4441
"1860",2016-02-15,1.4435,1.4499,1.4537,1.4411
"1861",2016-02-16,1.4305,1.4435,1.4518,1.4276
"1862",2016-02-17,1.4297,1.4301,1.4342,1.4233
"1863",2016-02-18,1.4337,1.4294,1.4399,1.4254
"1864",2016-02-19,1.4406,1.433,1.441,1.4245
"1865",2016-02-22,1.415,1.4308,1.432,1.4056
"1866",2016-02-23,1.4022,1.4148,1.4156,1.4004
"1867",2016-02-24,1.3927,1.4021,1.4029,1.3876
"1868",2016-02-25,1.3963,1.3923,1.3997,1.3897
"1869",2016-02-26,1.387,1.396,1.4045,1.3852
"1870",2016-02-29,1.3916,1.3868,1.3947,1.3833
"1871",2016-03-01,1.3948,1.3916,1.4019,1.3902
"1872",2016-03-02,1.4078,1.3946,1.4094,1.3912
"1873",2016-03-03,1.4179,1.4076,1.4196,1.403
"1874",2016-03-04,1.4227,1.4176,1.4249,1.4105
"1875",2016-03-07,1.4265,1.4231,1.4284,1.4132
"1876",2016-03-08,1.4216,1.4264,1.4276,1.4171
"1877",2016-03-09,1.4218,1.4214,1.4244,1.4174
"1878",2016-03-10,1.428,1.4215,1.4322,1.4116
"1879",2016-03-11,1.4387,1.4278,1.4438,1.4251
"1880",2016-03-14,1.4302,1.4382,1.4391,1.4289
"1881",2016-03-15,1.4153,1.4299,1.4309,1.4137
"1882",2016-03-16,1.426,1.4147,1.4275,1.4051
"1883",2016-03-17,1.4479,1.4257,1.4503,1.4219
"1884",2016-03-18,1.4481,1.4479,1.4517,1.4408
"1885",2016-03-21,1.4367,1.4479,1.4481,1.4362
"1886",2016-03-22,1.4208,1.4366,1.4398,1.4188
"1887",2016-03-23,1.4117,1.4205,1.4228,1.408
"1888",2016-03-24,1.4154,1.4113,1.4184,1.4055
"1889",2016-03-25,1.4143,1.4152,1.4159,1.4107
"1890",2016-03-28,1.4254,1.4127,1.4282,1.4116
"1891",2016-03-29,1.4385,1.4252,1.4409,1.4192
"1892",2016-03-30,1.4378,1.4378,1.446,1.4358
"1893",2016-03-31,1.4362,1.4376,1.4428,1.4324
"1894",2016-04-01,1.4226,1.4359,1.4379,1.4169
"1895",2016-04-04,1.4263,1.4218,1.4322,1.4188
"1896",2016-04-05,1.4161,1.4261,1.4281,1.412
"1897",2016-04-06,1.4121,1.4159,1.4171,1.4004
"1898",2016-04-07,1.4057,1.4117,1.4159,1.4044
"1899",2016-04-08,1.4126,1.4055,1.4144,1.4038
"1900",2016-04-11,1.4241,1.4122,1.4286,1.4102
"1901",2016-04-12,1.4275,1.4238,1.4349,1.4194
"1902",2016-04-13,1.4203,1.4273,1.428,1.419
